,ID,Followers,Following,Posts,Is private,ID has number,ID has number at end,ID letter ratio,Following/follower ratio,Following/post ratio,Follower/post ratio,IsFake
205,sachindramolsom,4,71,1,False,False,False,1.0,17.75,71.0,4.0,True
206,m.albrag,4101,109,4,False,False,False,0.875,0.0265788831992197,27.25,1025.25,False
207,mr_itean01,103,1572,1,True,True,True,0.7,15.262135922330096,1572.0,103.0,True
208,rvo_o,982,305,5,False,False,False,0.8,0.3105906313645621,61.0,196.4,False
209,himat.singh.1297943,0,6,0,False,True,True,0.5263157894736842,inf,inf,inf,True
210,omid.riyahi1995,593,2423,5,False,True,True,0.6666666666666666,4.086003372681281,484.6,118.6,True
211,alaa.t.s,422,1296,19,True,False,False,0.75,3.0710900473933656,68.21052631578948,22.210526315789476,False
212,gufvuiip1188,356,117,119,False,True,True,0.6666666666666666,0.32865168539325845,0.9831932773109244,2.9915966386554618,False
213,ballyhoo549783,23,910,1,False,True,True,0.5714285714285714,39.56521739130435,910.0,23.0,True
214,danahbaj,392,348,64,False,False,False,1.0,0.8877551020408163,5.4375,6.125,True
215,7xrsi_,127,337,3,True,True,False,0.6666666666666666,2.6535433070866143,112.33333333333331,42.333333333333336,True
216,jangceolgi6360,163,2281,10,False,True,True,0.7142857142857143,13.993865030674849,228.1,16.3,True
217,fazansari32,43,277,0,True,True,True,0.8181818181818182,6.441860465116278,inf,inf,True
218,kayrashai,2,10,0,False,False,False,1.0,5.0,inf,inf,False
219,zaralls,8,18,0,False,False,False,1.0,2.25,inf,inf,True
220,charapucchi,98,172,19,True,False,False,1.0,1.7551020408163265,9.052631578947368,5.157894736842105,False
221,gaby.rouillaud,150,587,2,False,False,False,0.9285714285714286,3.9133333333333336,293.5,75.0,True
222,baticheyahia,284,1286,3,False,False,False,1.0,4.528169014084507,428.66666666666674,94.66666666666669,True
223,keithc.andersen,52,119,1,False,False,False,0.9333333333333332,2.2884615384615383,119.0,52.0,False
224,l_atelier_de_jerem,9,17,11,False,False,False,0.8333333333333334,1.8888888888888888,1.5454545454545454,0.8181818181818182,False
225,rxt8425,14,4,0,False,True,True,0.42857142857142855,0.2857142857142857,inf,inf,False
226,harrymosbeux,7,38,0,False,False,False,1.0,5.428571428571429,inf,inf,False
227,marceaumouton,7,28,0,True,False,False,1.0,4.0,inf,inf,True
228,hugo_castro_1,86,96,178,False,True,True,0.7692307692307693,1.1162790697674418,0.5393258426966292,0.4831460674157304,False
229,this0u,9,63,2,True,True,False,0.8333333333333334,7.0,31.5,4.5,False
230,leo.lapel.7,16,79,4,False,True,True,0.7272727272727273,4.9375,19.75,4.0,False
231,allan_tout_court,62,55,4,True,False,False,0.875,0.8870967741935484,13.75,15.5,False
232,fabrizziogrande,89,103,2,False,False,False,1.0,1.1573033707865168,51.5,44.5,False
233,allzerk,47,115,20,False,False,False,1.0,2.4468085106382977,5.75,2.35,False
